,2021-11-02,2021-10-09,2021-08-26,2021-03-30,2021-02-15,2021-01-07,2020-08-12,2021-09-17,2021-08-18,2021-06-23,2021-05-08,2021-03-02,2021-02-09,2020-10-14,2020-09-30,2020-03-07,2021-12-01,2021-06-08,2021-03-25,2021-09-24,2021-06-29,2021-06-10,2021-05-02,2021-04-16,2021-03-08,2021-02-03,2021-01-15,2020-07-27,2021-07-30,2021-07-09,2021-04-08,2021-01-21,2020-09-24,2020-06-10,2021-11-05,2021-09-08,2021-05-31,2020-09-09,2021-10-21,2021-09-30,2021-08-02,2021-07-07,2021-04-06,2020-11-23,2020-05-08,2021-11-21,2021-11-18,2021-06-03,2021-05-24,2021-04-30,2020-12-14,2020-08-31,2020-08-08,2021-09-14,2021-07-27,2021-06-19,2020-06-07,2020-04-09,2020-02-10,2021-12-04,2021-11-16,2021-07-11,2021-03-20,2020-10-21,2020-08-06,2021-10-07,2021-02-22,2021-01-09,2020-12-08,2020-11-30,2020-03-11,2021-08-09,2021-05-19,2020-12-29,2020-11-11,2020-09-21,2020-09-18,2020-08-26,2020-06-15,2020-01-10,2021-12-10,2021-11-06,2021-02-28,2021-02-11,2021-01-03,2021-10-19,2021-09-13,2021-07-20,2021-03-06,2021-06-04,2021-05-23,2021-03-29,2020-10-28,2021-10-13,2021-09-20,2021-08-16,2021-06-14,2021-02-07,2021-01-11,2020-03-09,2021-12-07,2021-11-15,2021-03-23,2020-10-22,2020-01-06,2021-10-02,2021-09-04,2021-06-30,2021-04-21,2021-02-27,2020-08-19,2021-10-25,2021-08-06,2021-07-03,2021-04-02,2020-11-27,2020-09-17,2020-07-15,2020-06-23,2021-11-03,2021-10-08,2021-08-27,2021-03-31,2021-01-06,2020-08-13,2021-09-29,2021-07-23,2021-06-24,2021-03-05,2021-01-18,2020-10-13,2021-06-09,2021-03-24,2020-07-07,2021-10-14,2021-09-27,2021-08-11,2021-05-01,2021-04-15,2020-12-31,2020-11-09,2021-01-20,2020-09-25,2020-08-22,2020-06-28,2020-06-11,2021-09-07,2021-04-22,2021-02-24,2020-09-06,2021-10-20,2021-08-03,2021-07-06,2021-05-13,2021-03-15,2020-09-12,2020-07-10,2020-06-26,2021-11-22,2021-05-27,2020-12-17,2021-09-15,2021-07-26,2021-06-21,2021-06-18,2020-10-16,2020-06-06,2020-02-11,2021-12-03,2021-11-11,2021-07-16,2020-10-26,2021-10-06,2021-02-23,2021-10-29,2021-01-27,2020-11-12,2020-10-06,2020-09-22,2020-08-25,2020-06-16,2021-12-11,2021-08-23,2021-01-02,2020-08-17,2021-07-05,2021-05-10,2021-03-16,2020-11-18,2020-09-28,2020-09-11,2020-07-13,2021-07-19,2021-06-05,2020-10-29,2021-09-23,2021-07-29,2021-06-17,2021-05-05,2021-04-11,2021-02-04,2020-10-19,2020-07-20,2020-06-09,2021-07-13,2021-05-28,2021-03-22,2020-12-18,2020-10-23,2020-01-07,2021-10-05,2021-09-03,2021-04-26,2021-02-20,2021-02-19,2020-05-28,2021-08-07,2021-05-17,2021-04-03,2021-03-11,2020-11-26,2020-09-16,2020-08-28,2020-07-14,2020-06-22,2021-08-24,2021-04-28,2021-02-17,2020-02-09,2021-09-28,2021-09-11,2021-07-22,2021-06-25,2021-01-19,2020-10-12,2020-05-10,2021-11-24,2021-08-31,2021-05-21,2020-12-11,2020-07-08,2021-10-15,2021-08-10,2021-04-14,2021-01-17,2020-12-30,2020-11-08,2021-03-18,2021-01-23,2020-11-16,2020-08-21,2020-06-12,2021-09-06,2021-04-23,2021-02-25,2021-10-27,2021-08-04,2021-07-01,2021-05-14,2021-01-29,2020-11-25,2020-10-31,2020-10-08,2020-09-15,2020-07-17,2021-12-08,2021-11-23,2021-06-01,2021-05-26,2020-12-16,2020-04-11,2020-01-09,2021-09-16,2021-08-19,2021-06-22,2021-03-03,2021-02-08,2020-10-15,2020-03-06,2020-02-12,2021-12-02,2021-11-10,2021-03-26,2020-10-27,2021-08-13,2021-06-28,2021-05-03,2021-03-09,2021-02-02,2021-01-14,2021-10-28,2021-01-26,2020-11-13,2020-10-07,2020-09-23,2020-08-24,2020-06-17,2020-01-12,2021-09-09,2021-08-20,2020-09-08,2020-08-14,2021-10-22,2021-08-01,2021-07-04,2021-05-11,2021-04-05,2021-03-17,2020-12-21,2020-11-20,2020-11-19,2020-09-29,2020-09-10,2020-07-12,2020-06-24,2021-11-19,2021-06-02,2021-05-25,2020-12-15,2020-08-09,2020-04-12,2021-10-11,2021-09-22,2021-07-28,2021-06-16,2021-05-04,2021-04-10,2021-01-13,2020-04-06,2021-12-05,2021-11-17,2021-07-10,2020-10-20,2020-08-07,2020-06-30,2021-10-04,2021-09-02,2021-04-27,2021-02-21,2021-02-18,2020-05-29,2020-03-12,2020-02-06,2021-05-18,2021-01-25,2020-09-20,2021-11-01,2021-08-25,2021-04-29,2021-02-16,2021-01-04,2021-10-18,2021-07-21,2021-04-19,2020-10-11,2020-07-28,2021-11-25,2021-08-30,2021-06-07,2021-05-20,2020-12-10,2020-07-09,2021-09-21,2021-08-17,2021-06-15,2021-05-07,2021-04-13,2021-02-06,2021-01-10,2020-03-08,2021-03-19,2021-01-22,2020-11-17,2020-08-20,2021-11-08,2021-10-03,2021-04-20,2021-02-26,2020-08-18,2021-10-26,2021-04-01,2020-11-24,2020-10-30,2020-10-09,2020-09-14,2020-06-19
Allanfearn,,176275,,2764,31065,,0,334405,60093,12483,,35619,709834,4750,1366,,36182,32180,,182538,81673,55160,41432,,43934,,47935,,171697,1313311,41472,,,3496,,,1387,379,76101,,45465,110442,743,0,,,,,,,3819,1124,,312737,175138,,,7868,1982,2976,,,,3849,0,,70399,645198,,5324,16654,286147,492,,3038,0,1142,0,0,,52850,5865,,,,45174,295005,78213,,15255,,,0,98044,107087,27743,3985,98432,90051,,87590,112717,45045,,0,72455,7304,,,12775,0,46463,,,,,,,,,24189,454669,588,852,,108140,94067,,796,67382,2630,432453,35711,,66516,,56300,55044,,,1006,15131,5033,,,6349,207912,,12242,0,43636,17465,,18140,26433,0,3004,,165322,,,,112407,6350,6776,8390,,6749,55268,,113598,9109,1287,35213,245371,,5982,0,5867,0,,67430,207305,,898,32418,98563,3090,7368,1545,2540,,,,,,,,,,597,1626,,,80936,1293,12615,,28103,,1706,42959,,,59022,,,1131,,45107,,325,0,,,180701,1058,13421,2912,65569,,92510,34094,33430,,5518,,318495,0,,435,168984,62879,,,,,,,4449,1074,,0,8421,,179109,,,9469,44044,28105,,0,1686,,,166588,82734,0,4020,4220,2353,,,41267,,56164,,,2215,,,31291,4157,77208,97953,10975,,31607,,,33625,5998,,5875,1414,,3061,,175738,,868,,,4722,1786,,3874,,,,2678,,448,,,,511,,7171,2715,52602,243526,60354,8613,,,122424,0,4616,44245,,9649,,0,,,4780,,,,,0,730,,,102770,317356,,58541,,77238,86700,,,,,,148209,,2650,2825,222711,44701,15125,158210,2387,0,117328,,32887,29462,11680,,30467,33509,,,820,156278,70482,3887,107813,,1302,0
Allers,,1081826,,,,,,,,,,,,,,,,,,,,,,,,,,,182675,,,,,,,,12959,,,,12350,,,,,,,,,12276,,,,,,,,,,,,,,,,,46774,,,,,,,,,,,,,,,,,,15091,,,,,,,,,,,,14018,317623,57559,,,237807,,,,,,,,,,,,,,,,,,2164,,,,,,,108883,,,,,,3694,,,,310774,,15269,,,,,,,,274111,,,,,,,10590,,,,,374575,,,,,,,,,,,,172052,,9470,,,,,,,,,,,,,,,,,,,,,7443,,138315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77538,60401,,,,,2386,,,,,,,,,,,,,,,,,,3857,,,,,,,,,,,,4087,,,,299940,,,,,,,,,,,,,,,,44506,,,,,,,,,,,,,,,164611,,,,,,,,,,,,,,,,,,,,,,,,160353,,,,,,,,,,,,,,,,,70511,,,,,60768,8910,123163,,,,,,960625,,,,,,,,,,,77248,,3334,,,,,,,,,41069,,,,,,
Allers - St Leonards,,,,,,,,,,,,,,,,,,,,,,,,251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,,,,,,,,,,,,,,,,,2654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1174,,,,,,,,,,,,,21179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,453,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alloa,,,,,,,,,169252,,,14987,,,,,145058,80689,54861,,,,,,88742,11696,,,,,,4694,,,27906,85928,15119,,72552,281593,58258,,,,,,134576,,21387,,,,,234712,,,,,,20591,43837,,,,,,36623,387159,,,,437785,,,,,,,,,,,,71992,20098,,,,,,,20001,,112167,74989,243591,21299,109200,,,208317,,15195,,,56118,,53810,,,,,,,,,,,,,,,22576,,,,,97920,,,,784602,,,,,,42938,23457,,,11836,,,,,,,10697,,,19447,66794,,9136,,,,,,,,,,,,,,,88743,,,40954,45406,,16499,,,,,,,431206,95838,,,,13061,,,,,,27729,,,,44593,,78999,,,,,,,16087,,,,,36814,12049,,15023,,90835,,,,,,,,,,,7122,,,142715,86961,,,,,,,21303,,,185875,,,,,,,,,,,,,,,13855,78204,31831,,,,,,,,86199,211953,,22351,,,155926,,40302,20216,,,,,,56643,,,,,,,,,217815,,,,,,,,,,,,,,,,13576,65428,3325,,,,,,,,,,34953,,,,,,,53864,131851,144388,,,,,,,,,,16852,,33139,,,,9615,74131,,115040,249791,1729,,25824,36307,74817,,,,139156,508699,60842,,,,,,,,16162,67129,,,,25821,,,48391,38277,,,,159953,,,,,,
Alness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1406246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alva,,176879,,4104,,,,,,,,,,,,,,,,,,,,,,7824,,,,900924,,,,,3377,,26755,,162652,195669,,,,,,,428169,,,1280,,,,221828,,,,,,3343,98362,,,,,,50990,230940,,,,,7844,,,,,,,,,,,98282,21722,,,,169382,5236,,,,,73580,,20713,114838,,,43734,,4698,,,,3715,37294,,,,,,,,,,,,,,,6564,,,,,30624,,,,,,,,,,,,,,,,,,,,,,,,5429,78595,,5652,,,,,,,,55457,,,,,,,122571,,,35759,81492,,,,,,,,,,,,,,5966,,,,,159015,622,,,20947,62412,,92368,,,,,,7542,8117,,,,,41358,,,106223,,36044,,,,,,,,,,,,,,97970,,,,,,,,1459,,,,,,,,,,,,,,,,,,,,1744,,,,,,,,211854,,2719,,,,200501,,58761,,,,,,,,,,,,,,,,238667,,,,,,,,,,,,,,,,1132,,,,,,,,,,,,,,,,,,,,270461,,,,,,,,,,,3670,,36372,,,,,,,,,,,,212713,23320,,,,300910,259762,108481,,,,,,,,1653,,,,,,,,,,,,,267430,,,,,,
Annan,,,517191,,,61889,,,,,,,,,,,,,,,,53707,5982,,43863,0,,,,897852,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,1548,,,,,,,,191323,,,2180,,,,,,,,,,25463,,,,,,433865,,11180,0,,,,54792,,,,,15514,,,218826,716,,,26815,,,,,0,37554,,,,,,,,,69592,,,,,,,,,,1290,,,,,79165,62031,,,,,,,,,,,,,,7675,24598,,,5785,,,,275562,,,,,,,,,,,,,,,6882,,,,,,,,,,,,,,,,0,,,100038,,,,,,2981,,,,,,,,,,,,569,,1544,,,0,,2584,,,375,,,,,,,,,,,,,,,,,,,,,184988,,,,,,,,,,,,,,,,1193429,,24242,,,,0,,,,,,,,0,,,13711,,,,,,,,,1779,,,,,,,,,,,580,0,,0,,,,,,,,,,,,14298,,,,0,,,,,,,,,,,,,,332249,,,,,1007,,,,,,957,,,,,,,,,,,,,,,,4477,,,,,,,0,58010,104565,37858,305215,,,,,,17339,,,,,,,,,,,,,,
Ardoch,,,,,,36951,,,,17805,,,,,,,,,,,4017,,,,,,,,,,,,,,,,1499,,26393,,,,,,,,,,3429,,,,,,60784,,,,,1550,,,,,,,,,,,,,0,,,,,,,,,8087,,,,,,,,2440,,4081,,,9838,,,,96797,,39349,61792,19305,,,,,,,,,,6750,,,,,,,13891,,,,1996,,,23397,4794,,,,,,,,,69404,,,,,,,,,,,,,,79076,,,,,,,,46228,266,,,,,,,,,35547,,,,,3963,16082,,,,,,,8674,,,,,,,,,,,,,,,46946,,0,,,,,,,,4511,,,,0,,490,,9969,,47294,493,4167,,,,,,,,1426,,,,,,,,,,,17081,,,,,,,,,,7551,,,,,,,4021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4560,,,,,,,,,,,,,,,,,,,47327,2105,,,,,,,,,66780,,,,,,,,,,4232,88637,,,693,,,,,,,,,,24194,,,,,,,,,,,,,,,,,,,109671,,,,,,5290,,2613,,,,10916,,,,,,,,,62745,,,,,,
Armadale,,,,,,325648,,,,158941,,,,,,,,,15452,,,,,,,12680,,,,,,20584,,,12607,,21612,,,,112475,,,,,,212934,,,,12986,,,645462,174279,,,,,2111,163240,,,,,,,,,,,1102894,,,,,,,,,,,,93692,,,,128554,,15280,,,,,,,69117,,,,,,,,,,,,,,,,,,,,,,,36847,,,,,,,317092,,,,,,13549,,,,,,,,,,,,,,,,,,135659,,9930,,,,,,,68283,,,,39616,,,,,23454,156246,,,,53112,,,,,,,,,,54461,,,51717,,,,,,,,,,743595,,8249,123224,3637,,,,,,,,,,11764,,,,182270,,,,,,,,,,,,3815,,,,121853,,,,,,,550148,1225,,,,,,,,,22146,,,,,11960,,21167,,,,,,,,,,,,166630,,,,,,483849,,,14290,,,,,,,,,,267865,,963166,,,313838,,,,,,,,,,,,,33772,7829,,20732,14687,60284,,,,,,,,,,,,,,,,66457,,,37537,,,,,,,,,,6459,,,,,,,236472,,,,,,2227,45394,,,,,279161,,265018,,,,,,,,1360,16584,176779,,,,,,,,,,,162595,,,,,,
Auchinairn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
